image,gender,age,db,min_score
01/nm0000001_rm946909184_1899-5-10_1968.jpg,1,69,imdb,1.0
01/nm0000001_rm980463616_1899-5-10_1968.jpg,1,69,imdb,1.0
02/nm0000002_rm1346607872_1924-9-16_2004.jpg,0,79,imdb,1.0
02/nm0000002_rm1363385088_1924-9-16_2004.jpg,0,79,imdb,1.0
02/nm0000002_rm221957120_1924-9-16_1974.jpg,0,49,imdb,1.0
02/nm0000002_rm2287049216_1924-9-16_2007.jpg,0,82,imdb,1.0
02/nm0000002_rm238734336_1924-9-16_1974.jpg,0,49,imdb,1.0
02/nm0000002_rm2585828096_1924-9-16_2006.jpg,0,81,imdb,1.0
02/nm0000002_rm2769394176_1924-9-16_2006.jpg,0,81,imdb,1.0
02/nm0000002_rm2780403712_1924-9-16_2004.jpg,0,79,imdb,1.0
02/nm0000002_rm2983566080_1924-9-16_2007.jpg,0,82,imdb,1.0
02/nm0000002_rm3453524224_1924-9-16_2007.jpg,0,82,imdb,1.0
02/nm0000002_rm370988544_1924-9-16_1991.jpg,0,66,imdb,1.0
02/nm0000002_rm3730086656_1924-9-16_2006.jpg,0,81,imdb,1.0
02/nm0000002_rm3954154240_1924-9-16_2006.jpg,0,81,imdb,1.0
02/nm0000002_rm4111175424_1924-9-16_2010.jpg,0,85,imdb,1.0
02/nm0000002_rm4213815808_1924-9-16_1990.jpg,0,65,imdb,1.0
02/nm0000002_rm505206272_1924-9-16_1991.jpg,0,66,imdb,1.0
02/nm0000002_rm800626688_1924-9-16_2006.jpg,0,81,imdb,1.0
02/nm0000002_rm81958912_1924-9-16_2005.jpg,0,80,imdb,1.0
02/nm0000002_rm991745536_1924-9-16_1991.jpg,0,66,imdb,1.0
03/nm0000003_rm1883436032_1934-9-28_1963.jpg,0,28,imdb,1.0
03/nm0000003_rm1900213248_1934-9-28_1963.jpg,0,28,imdb,1.0
03/nm0000003_rm2034430976_1934-9-28_1963.jpg,0,28,imdb,1.0
03/nm0000003_rm2051208192_1934-9-28_1963.jpg,0,28,imdb,1.0
03/nm0000003_rm2067985408_1934-9-28_1963.jpg,0,28,imdb,1.0
03/nm0000003_rm2148710400_1934-9-28_1963.jpg,0,28,imdb,1.0
03/nm0000003_rm3428825856_1934-9-28_1965.jpg,0,30,imdb,1.0
04/nm0000004_rm1553583616_1949-1-24_1978.jpg,1,29,imdb,1.0
