file,gender,race,makeup,time,happiness,age
000000.jpg,male,caucasian,nomakeup,modernphoto,neutral,4
000001.jpg,female,caucasian,verysubtle,modernphoto,neutral,18
000002.jpg,female,caucasian,notclear,modernphoto,slightlyhappy,80
000003.jpg,female,caucasian,verysubtle,modernphoto,happy,50
000004.jpg,female,caucasian,makeup,modernphoto,slightlyhappy,17
000005.jpg,male,asian,nomakeup,modernphoto,slightlyhappy,27
000006.jpg,female,caucasian,makeup,oldphoto,slightlyhappy,24
000007.jpg,male,caucasian,nomakeup,modernphoto,other,43
000008.jpg,male,asian,nomakeup,modernphoto,neutral,26
000009.jpg,female,caucasian,verysubtle,modernphoto,neutral,39
000010.jpg,male,caucasian,nomakeup,modernphoto,other,17
000011.jpg,male,asian,nomakeup,modernphoto,neutral,51
000012.jpg,female,caucasian,nomakeup,modernphoto,neutral,2
000013.jpg,female,caucasian,nomakeup,modernphoto,other,1
000014.jpg,female,caucasian,nomakeup,modernphoto,slightlyhappy,6
000015.jpg,female,caucasian,verysubtle,modernphoto,neutral,18
000016.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,24
000017.jpg,female,caucasian,nomakeup,modernphoto,slightlyhappy,5
000018.jpg,female,caucasian,nomakeup,modernphoto,happy,40
000019.jpg,female,caucasian,verysubtle,modernphoto,happy,16
000020.jpg,female,caucasian,makeup,oldphoto,other,29
000021.jpg,female,caucasian,nomakeup,modernphoto,other,1
000022.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,35
000023.jpg,male,caucasian,notclear,modernphoto,neutral,25
000024.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,5
000025.jpg,female,caucasian,nomakeup,modernphoto,slightlyhappy,30
000026.jpg,female,caucasian,makeup,modernphoto,slightlyhappy,24
000027.jpg,male,caucasian,nomakeup,modernphoto,neutral,35
000028.jpg,male,caucasian,nomakeup,modernphoto,neutral,65
000029.jpg,female,asian,verysubtle,modernphoto,slightlyhappy,13
000030.jpg,male,caucasian,nomakeup,modernphoto,neutral,1
000031.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,28
000032.jpg,male,caucasian,nomakeup,modernphoto,other,27
000033.jpg,female,caucasian,makeup,modernphoto,slightlyhappy,16
000034.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,4
000035.jpg,female,caucasian,nomakeup,modernphoto,slightlyhappy,16
000036.jpg,male,afroamerican,nomakeup,modernphoto,other,2
000037.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,31
000038.jpg,female,caucasian,nomakeup,modernphoto,happy,10
000039.jpg,male,caucasian,nomakeup,modernphoto,other,4
000040.jpg,male,caucasian,nomakeup,modernphoto,other,1
000041.jpg,female,asian,makeup,modernphoto,neutral,34
000042.jpg,female,caucasian,verysubtle,modernphoto,neutral,15
000043.jpg,female,caucasian,makeup,modernphoto,slightlyhappy,30
000044.jpg,female,caucasian,nomakeup,modernphoto,other,8
000045.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,20
000046.jpg,female,caucasian,verysubtle,oldphoto,neutral,16
000047.jpg,female,caucasian,verysubtle,modernphoto,slightlyhappy,19
000048.jpg,female,caucasian,verysubtle,modernphoto,neutral,40
000049.jpg,female,caucasian,nomakeup,modernphoto,slightlyhappy,10
000050.jpg,male,asian,nomakeup,modernphoto,slightlyhappy,42
000051.jpg,female,caucasian,verysubtle,modernphoto,neutral,23
000052.jpg,female,asian,makeup,modernphoto,neutral,25
000053.jpg,female,caucasian,nomakeup,modernphoto,neutral,1
000054.jpg,female,caucasian,nomakeup,modernphoto,happy,58
000055.jpg,male,asian,nomakeup,modernphoto,slightlyhappy,23
000056.jpg,female,caucasian,makeup,modernphoto,happy,44
000057.jpg,female,caucasian,nomakeup,modernphoto,slightlyhappy,7
000058.jpg,male,caucasian,nomakeup,modernphoto,happy,21
000059.jpg,female,caucasian,verysubtle,modernphoto,slightlyhappy,14
000060.jpg,female,caucasian,nomakeup,modernphoto,neutral,28
000061.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,24
000062.jpg,female,caucasian,nomakeup,modernphoto,slightlyhappy,10
000063.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,40
000064.jpg,female,caucasian,makeup,modernphoto,slightlyhappy,26
000065.jpg,male,caucasian,nomakeup,modernphoto,neutral,34
000066.jpg,male,caucasian,nomakeup,oldphoto,neutral,48
000067.jpg,male,caucasian,nomakeup,modernphoto,neutral,39
000068.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,5
000069.jpg,female,caucasian,makeup,modernphoto,other,24
000070.jpg,male,caucasian,nomakeup,modernphoto,happy,27
000071.jpg,female,caucasian,makeup,modernphoto,slightlyhappy,45
000072.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,24
000073.jpg,female,caucasian,makeup,modernphoto,neutral,21
000074.jpg,male,asian,nomakeup,modernphoto,slightlyhappy,24
000075.jpg,male,caucasian,nomakeup,oldphoto,happy,24
000076.jpg,female,asian,verysubtle,modernphoto,slightlyhappy,26
000077.jpg,female,caucasian,makeup,modernphoto,happy,14
000078.jpg,female,afroamerican,makeup,modernphoto,happy,17
000079.jpg,female,asian,nomakeup,modernphoto,neutral,2
000080.jpg,female,caucasian,makeup,modernphoto,slightlyhappy,27
000081.jpg,female,caucasian,verysubtle,modernphoto,slightlyhappy,23
000082.jpg,female,caucasian,verysubtle,modernphoto,other,25
000083.jpg,female,caucasian,makeup,modernphoto,slightlyhappy,18
000084.jpg,male,caucasian,nomakeup,modernphoto,other,58
000085.jpg,female,caucasian,makeup,modernphoto,other,51
000086.jpg,male,caucasian,nomakeup,modernphoto,neutral,25
000087.jpg,male,caucasian,nomakeup,modernphoto,other,29
000088.jpg,male,caucasian,nomakeup,modernphoto,neutral,37
000089.jpg,male,caucasian,nomakeup,modernphoto,other,50
000090.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,35
000091.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,22
000092.jpg,female,caucasian,verysubtle,modernphoto,slightlyhappy,28
000093.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,59
000094.jpg,male,caucasian,verysubtle,modernphoto,happy,30
000095.jpg,male,caucasian,nomakeup,modernphoto,neutral,17
000096.jpg,female,caucasian,nomakeup,modernphoto,happy,53
